"Stock","Stock code","Current Price Rs","Market Capitalization in Cr","Latest financial result yyyymmdd","PE TTM Price to Earnings","Price to Book Value","Revenue QoQ Growth %","Net Profit QoQ Growth %","NSE Code","BSE Code","ISIN"
"Mangalore Refinery And Petrochemicals Ltd.","MRPL","113.15","19830.66","2023-09-30","5.24","2.01","-8.01","3.64","MRPL","500109","INE103A01014"
"Restaurant Brands Asia Ltd.","RBA","111.95","5542.32","2023-09-30","-25.16","6.55","2.31","8.82","RBA","543248","INE07T201019"
"Union Bank of India","UNIONBANK","106.65","79053.76","2023-09-30","6.63","1.09","4.74","9.17","UNIONBANK","532477","INE692A01016"
"Bank of India","BANKINDIA","104","42677.09","2023-09-30","7.92","0.8","4.29","-4.03","BANKINDIA","532149","INE084A01016"
"Indian Oil Corporation Ltd.","IOC","101.25","142977.54","2023-09-30","3.7","1","-9.72","-9.16","IOC","530965","INE242A01010"
"CESC Ltd.","CESC","99.85","13235.82","2023-09-30","9.15","1.17","0.97","0.29","CESC","500084","INE486A01021"
"Equitas Small Finance Bank Ltd.","EQUITASBNK","94.8","10698.62","2023-09-30","14.27","2.07","8.38","3.63","EQUITASBNK","543243","INE063P01018"
"National Aluminium Company Ltd.","NATIONALUM","91.4","16786.81","2023-09-30","13.19","1.28","-4.25","-43.87","NATIONALUM","532234","INE139A01034"
"Steel Authority of India (SAIL) Ltd.","SAIL","89.25","36864.94","2023-09-30","11.45","0.67","21.98","514.45","SAIL","500113","INE114A01011"
"Samvardhana Motherson International Ltd.","MOTHERSON","87.7","59429.22","2023-09-30","31.11","2.44","4.5","-66.46","MOTHERSON","517334","INE775A01035"
"Tata Teleservices (Maharashtra) Ltd.","TTML","85.8","16773.28","2023-09-30","-14.36","-0.67","0.46","-3","TTML","532371","INE517B01013"
"Housing and Urban Development Corporation Ltd.","HUDCO","83.25","16665.82","2023-09-30","9.31","1.08","1.2","1.35","HUDCO","540530","INE031A01017"
"IDFC First Bank Ltd.","IDFCFIRSTB","83.2","58752.05","2023-09-30","20.18","2.27","7.1","2.1","IDFCFIRSTB","539437","INE092T01019"
"JM Financial Ltd.","JMFINANCIL","83","7927.76","2023-09-30","13.04","0.7","12.44","17.5","JMFINANCIL","523405","INE780C01023"
"Network18 Media & Investments Ltd.","NETWORK18","82.1","8595.45","2023-09-30","-59.62","1.87","-42.4","-57.47","NETWORK18","532798","INE870H01013"
"SJVN Ltd.","SJVN","81.05","31850.99","2023-09-30","31.35","2.3","30.17","61.78","SJVN","533206","INE002L01015"
"Indian Railway Finance Corporation Ltd.","IRFC","76.7","100235.44","2023-09-30","16.52","2.2","1.3","-0.43","IRFC","543257","INE053F01010"
"Punjab National Bank","PNB","76.35","84069.1","2023-09-30","14.24","0.89","4.62","48.29","PNB","532461","INE160A01022"
"RattanIndia Enterprises Ltd.","RTNINDIA","73.65","10180.42","2023-09-30","68.95","24.41","9.99","-21.2","RTNINDIA","534597","INE834M01019"
"HFCL Ltd.","HFCL","66.55","9508.48","2023-09-30","31.13","3.03","11.69","1.94","HFCL","500183","INE548A01028"
"NBCC (India) Ltd.","NBCC","65.95","11871","2023-09-30","35.73","5.59","7.06","5.93","NBCC","534309","INE095N01031"
"IDBI Bank Ltd.","IDBI","60.45","64998.27","2023-09-30","13.61","1.71","-12.02","12.7","IDBI","500116","INE008A01015"
"Motherson Sumi Wiring India Ltd.","MSUMI","59.1","26128.75","2023-09-30","49.9","19.64","13.23","26.6","MSUMI","543498","INE0FS801015"
"GMR Airports Infrastructure Ltd.","GMRINFRA","57.35","34616.15","2023-09-30","-93.32","35.73","1.41","-205.47","GMRINFRA","532754","INE776C01039"
"Ujjivan Small Finance Bank Ltd.","UJJIVANSFB","54.6","10681.07","2023-09-30","8.51","2.66","8.1","1.13","UJJIVANSFB","542904","INE551W01018"
"NHPC Ltd.","NHPC","54.45","54695.21","2023-09-30","14.03","1.31","6.31","49.09","NHPC","533098","INE848E01016"
"MMTC Ltd.","MMTC","52.45","7867.5","2023-09-30","45.19","5.58","-198.15","255.26","MMTC","513377","INE123F01029"
"Shree Renuka Sugars Ltd.","RENUKA","49.5","10536.02","2023-09-30","-36.84","-11.96","11.85","-48.26","RENUKA","532670","INE087H01022"
"Central Bank of India","CENTRALBK","44.35","38499.97","2023-09-30","17.65","1.51","1.62","25.65","CENTRALBK","532885","INE483A01010"
"Bank of Maharashtra","MAHABANK","43.75","30981.01","2023-09-30","9.06","2.16","5.83","4.09","MAHABANK","532525","INE457A01014"
"TV18 Broadcast Ltd.","TV18BRDCST","42.85","7346.03","2023-09-30","79.64","1.19","-43.51","-165.24","TV18BRDCST","532800","INE886H01027"
"NMDC Steel Ltd.","NSLNISP","41.95","12293.89","2023-09-30","","0.72","","","NSLNISP","543768","INE0NNS01018"
"Indian Overseas Bank","IOB","39.3","74286.48","2023-09-30","31.72","2.99","7.32","24.43","IOB","532388","INE565A01014"
"Easy Trip Planners Ltd.","EASEMYTRIP","38.8","6875.52","2023-09-30","47.08","18.56","14.22","81.29","EASEMYTRIP","543272","INE07O001026"
"UCO Bank","UCOBANK","37.7","45073.96","2023-09-30","24.5","1.98","-0.1","79.41","UCOBANK","532505","INE691A01018"
"Suzlon Energy Ltd.","SUZLON","37.35","50774.57","2023-09-30","90.44","45.45","5.21","1.38","SUZLON","532667","INE040H01021"
"IRB Infrastructure Developers Ltd.","IRB","37.25","22495.28","2023-09-30","44.9","1.68","6.78","-28.42","IRB","532947","INE821I01022"
"Trident Ltd.","TRIDENT","37.2","18956.96","2023-09-30","41.38","4.52","20.34","-2.88","TRIDENT","521064","INE064C01022"
"Infibeam Avenues Ltd.","INFIBEAM","21.05","5848.48","2023-09-30","41.14","1.85","6.41","57.25","INFIBEAM","539807","INE483S01020"
"Alok Industries Ltd.","ALOKINDS","20.1","9980.13","2023-09-30","-10.52","-0.53","-3.63","22.69","ALOKINDS","521070","INE270A01029"
"YES Bank Ltd.","YESBANK","19.2","55218.39","2023-09-30","66","1.36","4.17","-34.05","YESBANK","532648","INE528G01035"
"Brightcom Group Ltd.","BCG","16.9","3411.3","2023-06-30","2.41","0.49","23.57","40.29","BCG","532368","INE425B01027"
"Vodafone Idea Ltd.","IDEA","13.5","65717.58","2023-09-30","-2.12","-0.88","0.57","-11.45","IDEA","532822","INE669E01016"
"Blue Star Ltd.","BLUESTARCO","975.3","18786.99","2023-09-30","42.92","14.08","-15.08","-15.21","BLUESTARCO","500067","INE472A01039"
"Max Financial Services Ltd.","MFSL","973.65","33602.1","2023-09-30","66.35","8.47","10.87","68.67","MFSL","500271","INE180A01020"
"The Ramco Cements Ltd.","RAMCOCEM","972.95","22990.07","2023-09-30","65.9","3.35","4.18","-3.21","RAMCOCEM","500260","INE331A01037"
"Bharti Airtel Ltd.","BHARTIARTL","969.75","554682.64","2023-09-30","73.5","4.41","-1.06","-16.86","BHARTIARTL","532454","INE397D01024"
"Tata Chemicals Ltd.","TATACHEM","960.45","24468.07","2023-09-30","11.88","1.19","-5.22","-19.55","TATACHEM","500770","INE092A01019"
"Eris Lifesciences Ltd.","ERIS","946.45","12873.92","2023-09-30","33.39","5.8","8.29","30.12","ERIS","540596","INE406M01024"
"Anupam Rasayan India Ltd.","ANURAS","938.25","10096.57","2023-09-30","56.44","4.03","1.49","5.39","ANURAS","543275","INE930P01018"
"Tata Consumer Products Ltd.","TATACONSUM","928.25","86235.5","2023-09-30","67.63","5.04","-0.2","6.84","TATACONSUM","500800","INE192A01025"
"ICICI Bank Ltd.","ICICIBANK","922.75","646799.22","2023-09-30","15.74","3.06","4.94","11","ICICIBANK","532174","INE090A01021"
"Tanla Platforms Ltd.","TANLA","921.25","12387.12","2023-09-30","24.06","8.16","10.7","5.28","TANLA","532790","INE483C01032"
"One97 Communications Ltd.","PAYTM","918.75","58309.42","2023-09-30","-48.27","4.49","7.56","18.63","PAYTM","543396","INE982J01020"
"Piramal Enterprises Ltd.","PEL","914.8","20552.24","2023-09-30","5.26","0.66","-24.34","-90.53","PEL","500302","INE140A01024"
"Home First Finance Company India Ltd.","HOMEFIRST","914.5","8064.06","2023-09-30","30.29","4.44","7.17","7.5","HOMEFIRST","543259","INE481N01025"
